title,year,gross_crore_inr,gross_usd_million,industry
Dangal,2016,2011.0,241.3,Bollywood
Dhurandhar: The Revenge,,1850.61,222.1,Bollywood
Baahubali 2: The Conclusion,2017,1810.43,217.3,Bollywood
Pushpa 2: The Rule,,1721.0,206.5,Bollywood
Dhurandhar,2025,1389.415,166.7,Bollywood
RRR,2022,1343.5,161.2,Bollywood
KGF: Chapter 2,,1225.0,147.0,Bollywood
Jawan,2023,1148.32,137.8,Bollywood
Kalki 2898 AD,2024,1071.0,128.5,Bollywood
Animal,2023,917.82,110.1,Bollywood
Bajrangi Bhaijaan,,934.98,112.2,Bollywood
Stree 2,,874.58,104.9,Bollywood
Secret Superstar,,912.2149999999999,109.5,Bollywood
Kantara: Chapter 1,2025,875.0,105.0,Bollywood
Chhaava,,803.1700000000001,96.4,Bollywood
PK,,760.245,91.2,Bollywood
2.0,2018,749.9449999999999,90.0,Bollywood
Gadar 2,2023,691.08,82.9,Bollywood
Sultan,,619.52,74.3,Bollywood
Salaar: Part 1 – Ceasefire,2023,658.0,79.0,Bollywood
Jailer,,627.5,75.3,Bollywood
Baahubali: The Beginning,2015,624.86,75.0,Bollywood
Leo,2023,605.0,72.6,Bollywood
Sanju,2018,586.85,70.4,Bollywood
Saiyaara,,579.23,69.5,Bollywood
Tiger Zinda Hai,,565.19,67.8,Bollywood
Padmaavat,,567.765,68.1,Bollywood
Dhoom 3,,557.5799999999999,66.9,Bollywood
Coolie,2025,594.5,71.3,Bollywood
War,2019,475.20500000000004,57.0,Bollywood
Dunki,,470.6,56.5,Bollywood
Border 2,,464.5,55.7,Bollywood
Ponniyin Selvan: I,2022,475.0,57.0,Bollywood
Andhadhun,2018,450.685,54.1,Bollywood
The Greatest of All Time,2024,450.0,54.0,Bollywood
Vikram,,462.0,55.4,Bollywood
Bhool Bhulaiyaa 3,2024,423.85,50.9,Bollywood
Saaho,2019,429.0,51.5,Bollywood
Brahmāstra: Part One – Shiva,2022,424.78499999999997,51.0,Bollywood
Kantara,,425.0,51.0,Bollywood
3 Idiots,2009,430.305,51.6,Bollywood
Chennai Express,,410.23,49.2,Bollywood
Adipurush,2023,392.7,47.1,Bollywood
Simmba,2018,395.935,47.5,Bollywood
Singham Again,,389.64,46.8,Bollywood
Devara: Part 1,,450.5,54.1,Bollywood
