title,worldwide_gross,year,industry
Dangal,"₹1,968–2,054 crore",2016,Bollywood
Dhurandhar: The Revenge,"₹1,850.61 crore",[16],Bollywood
Baahubali 2: The Conclusion,"₹1,810.43 crore",2017,Bollywood
Pushpa 2: The Rule,"₹1,642–1,800 crore",[d],Bollywood
Dhurandhar,"₹1,350.83–1,428 crore",2025,Bollywood
RRR,"₹1,300–1,387 crore",2022,Bollywood
KGF: Chapter 2,"₹1,200–1,250 crore",[f],Bollywood
Jawan,"₹1,148.32 crore",2023,Bollywood
Kalki 2898 AD,"₹1,042–1,100 crore",2024,Bollywood
Animal,₹917.82 crore,2023,Bollywood
Bajrangi Bhaijaan,₹900.90–969.06 crore,[h],Bollywood
Stree 2,₹874.58 crore,[52],Bollywood
Secret Superstar,₹858.43–966 crore,[i],Bollywood
Kantara: Chapter 1,₹850–900 crore,2025,Bollywood
Chhaava,₹797.34–809 crore,[l],Bollywood
PK,₹750.60–769.89 crore,[m],Bollywood
2.0,₹699.89–800 crore,2018,Bollywood
Gadar 2,₹691.08 crore,2023,Bollywood
Sultan,₹615.71–623.33 crore,[o],Bollywood
Salaar: Part 1 – Ceasefire,₹614–702 crore,2023,Bollywood
Jailer,₹605–650 crore,[q],Bollywood
Baahubali: The Beginning,₹599.72–650 crore,2015,Bollywood
Leo,₹595–615 crore,2023,Bollywood
Sanju,₹586.85 crore,2018,Bollywood
Saiyaara,₹579.23 crore,[78],Bollywood
Tiger Zinda Hai,₹565.19 crore,[79],Bollywood
Padmaavat,₹563.55–571.98 crore,[t],Bollywood
Dhoom 3,₹556.74–558.42 crore,[u],Bollywood
Coolie,₹514–675 crore,2025,Bollywood
War,₹474.79–475.62 crore,2019,Bollywood
Dunki,₹470.60 crore,[90],Bollywood
Border 2,₹464.50 crore,[92],Bollywood
Ponniyin Selvan: I,₹450–500 crore,2022,Bollywood
Andhadhun,₹444.48–456.89 crore,2018,Bollywood
The Greatest of All Time,₹440–460 crore,2024,Bollywood
Vikram,₹424–500 crore,[aa],Bollywood
Bhool Bhulaiyaa 3,₹423.85  crore,2024,Bollywood
Saaho,₹419–439 crore,2019,Bollywood
Brahmāstra: Part One – Shiva,₹418.80–430.77 crore,2022,Bollywood
Kantara,₹400–450 crore,[ad],Bollywood
3 Idiots,₹400.61–460 crore,2009,Bollywood
Chennai Express,₹395.92–424.54 crore,[af],Bollywood
Adipurush,₹392.70 crore,2023,Bollywood
Simmba,₹391.68–400.19 crore,2018,Bollywood
Singham Again,₹389.64 crore,[115],Bollywood
Devara: Part 1,₹380–521 crore,[ah],Bollywood
Avatar,"$2,923,710,708",[# 1][# 2],Hollywood
Avengers: Endgame,"$2,797,501,328",[# 3][# 4],Hollywood
Avatar: The Way of Water,"$2,334,484,620",[# 5][# 6],Hollywood
Titanic,"T$2,257,906,828",[# 7][# 8],Hollywood
Ne Zha 2,"NZ$2,215,690,000",[# 9][# 10],Hollywood
Star Wars: The Force Awakens,"$2,068,223,624",[# 11][# 12],Hollywood
Avengers: Infinity War,"$2,048,359,754",[# 13][# 14],Hollywood
Spider-Man: No Way Home,"SM$1,922,598,800",[# 15][# 16],Hollywood
Zootopia 2 †,"$1,866,647,950",[# 17][# 18],Hollywood
Inside Out 2,"$1,698,863,816",[# 19][# 20],Hollywood
Jurassic World,"$1,671,537,444",[# 21][# 22],Hollywood
The Lion King,"$1,656,943,394",[# 23][# 4],Hollywood
The Avengers,"$1,518,815,515",[# 24][# 25],Hollywood
Furious 7,"$1,515,341,399",[# 26][# 27],Hollywood
Top Gun: Maverick †,"$1,503,223,450",[# 28][# 29],Hollywood
Avatar: Fire and Ash †,"$1,485,999,890",[# 30][# 31],Hollywood
Frozen 2,"$1,450,026,933",[# 32][# 33],Hollywood
Barbie,"$1,447,138,421",[# 34][# 35],Hollywood
Avengers: Age of Ultron,"$1,402,809,540",[# 36][# 27],Hollywood
The Super Mario Bros. Movie,"$1,360,783,214",[# 37][# 38],Hollywood
Black Panther,"$1,347,280,838",[# 39][# 40],Hollywood
Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727",[# 41][# 42],Hollywood
Deadpool & Wolverine,"$1,338,073,645",[# 43][# 44],Hollywood
Star Wars: The Last Jedi,"$1,332,539,889",[# 45][# 46],Hollywood
Jurassic World: Fallen Kingdom,"$1,308,476,166",[# 47][# 14],Hollywood
Frozen,"F$1,290,000,000",[# 48][# 49],Hollywood
Beauty and the Beast,"$1,263,521,126",[# 50][# 51],Hollywood
Incredibles 2,"$1,242,805,359",[# 52][# 14],Hollywood
The Fate of the Furious,"F8$1,238,764,765",[# 53][# 51],Hollywood
Iron Man 3,"$1,214,811,252",[# 54][# 55],Hollywood
Minions,"$1,159,444,662",[# 56][# 22],Hollywood
Captain America: Civil War,"$1,153,337,496",[# 57][# 58],Hollywood
Aquaman,"$1,148,528,393",[# 59][# 14],Hollywood
The Lord of the Rings: The Return of the King,"$1,147,997,407",[# 60][# 61],Hollywood
Spider-Man: Far From Home,"$1,132,679,685",[# 62][# 4],Hollywood
Captain Marvel,"$1,128,274,794",[# 63][# 64],Hollywood
Transformers: Dark of the Moon,"$1,123,794,079",[# 65][# 42],Hollywood
Skyfall,"$1,108,594,137",[# 66][# 67],Hollywood
Transformers: Age of Extinction,"$1,104,054,072",[# 68][# 69],Hollywood
The Dark Knight Rises,"DKR$1,081,169,825",[# 70][# 71],Hollywood
Joker,"$1,074,458,282",[# 72][# 33],Hollywood
Star Wars: The Rise of Skywalker,"$1,074,144,248",[# 73][# 33],Hollywood
Toy Story 4,"$1,073,394,593",[# 74][# 4],Hollywood
Toy Story 3,"$1,066,970,811",[# 75][# 76],Hollywood
Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",[# 77][# 78],Hollywood
Moana 2,"$1,059,242,164",[# 79][# 80],Hollywood
Rogue One: A Star Wars Story,"$1,057,420,387",[# 81][# 82],Hollywood
Aladdin,"$1,050,693,953",[# 83][# 4],Hollywood
Star Wars: Episode I – The Phantom Menace,"$1,046,515,409",[# 84][# 8],Hollywood
Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",[# 85][# 76],Hollywood
