title,year,worldwide_gross,industry
Avatar,[# 1][# 2],"$2,923,710,708",Hollywood
Avengers: Endgame,[# 3][# 4],"$2,797,501,328",Hollywood
Avatar: The Way of Water,[# 5][# 6],"$2,334,484,620",Hollywood
Titanic,[# 7][# 8],"T$2,257,906,828",Hollywood
Ne Zha 2,[# 9][# 10],"NZ$2,215,690,000",Hollywood
Star Wars: The Force Awakens,[# 11][# 12],"$2,068,223,624",Hollywood
Avengers: Infinity War,[# 13][# 14],"$2,048,359,754",Hollywood
Spider-Man: No Way Home,[# 15][# 16],"SM$1,922,598,800",Hollywood
Zootopia 2 †,[# 17][# 18],"$1,866,647,950",Hollywood
Inside Out 2,[# 19][# 20],"$1,698,863,816",Hollywood
Jurassic World,[# 21][# 22],"$1,671,537,444",Hollywood
The Lion King,[# 23][# 4],"$1,656,943,394",Hollywood
The Avengers,[# 24][# 25],"$1,518,815,515",Hollywood
Furious 7,[# 26][# 27],"$1,515,341,399",Hollywood
Top Gun: Maverick †,[# 28][# 29],"$1,503,223,450",Hollywood
Avatar: Fire and Ash †,[# 30][# 31],"$1,485,999,890",Hollywood
Frozen 2,[# 32][# 33],"$1,450,026,933",Hollywood
Barbie,[# 34][# 35],"$1,447,138,421",Hollywood
Avengers: Age of Ultron,[# 36][# 27],"$1,402,809,540",Hollywood
The Super Mario Bros. Movie,[# 37][# 38],"$1,360,783,214",Hollywood
Black Panther,[# 39][# 40],"$1,347,280,838",Hollywood
Harry Potter and the Deathly Hallows – Part 2,[# 41][# 42],"$1,342,139,727",Hollywood
Deadpool & Wolverine,[# 43][# 44],"$1,338,073,645",Hollywood
Star Wars: The Last Jedi,[# 45][# 46],"$1,332,539,889",Hollywood
Jurassic World: Fallen Kingdom,[# 47][# 14],"$1,308,476,166",Hollywood
Frozen,[# 48][# 49],"F$1,290,000,000",Hollywood
Beauty and the Beast,[# 50][# 51],"$1,263,521,126",Hollywood
Incredibles 2,[# 52][# 14],"$1,242,805,359",Hollywood
The Fate of the Furious,[# 53][# 51],"F8$1,238,764,765",Hollywood
Iron Man 3,[# 54][# 55],"$1,214,811,252",Hollywood
Minions,[# 56][# 22],"$1,159,444,662",Hollywood
Captain America: Civil War,[# 57][# 58],"$1,153,337,496",Hollywood
Aquaman,[# 59][# 14],"$1,148,528,393",Hollywood
The Lord of the Rings: The Return of the King,[# 60][# 61],"$1,147,997,407",Hollywood
Spider-Man: Far From Home,[# 62][# 4],"$1,132,679,685",Hollywood
Captain Marvel,[# 63][# 64],"$1,128,274,794",Hollywood
Transformers: Dark of the Moon,[# 65][# 42],"$1,123,794,079",Hollywood
Skyfall,[# 66][# 67],"$1,108,594,137",Hollywood
Transformers: Age of Extinction,[# 68][# 69],"$1,104,054,072",Hollywood
The Dark Knight Rises,[# 70][# 71],"DKR$1,081,169,825",Hollywood
Joker,[# 72][# 33],"$1,074,458,282",Hollywood
Star Wars: The Rise of Skywalker,[# 73][# 33],"$1,074,144,248",Hollywood
Toy Story 4,[# 74][# 4],"$1,073,394,593",Hollywood
Toy Story 3,[# 75][# 76],"$1,066,970,811",Hollywood
Pirates of the Caribbean: Dead Man's Chest,[# 77][# 78],"$1,066,179,747",Hollywood
Moana 2,[# 79][# 80],"$1,059,242,164",Hollywood
Rogue One: A Star Wars Story,[# 81][# 82],"$1,057,420,387",Hollywood
Aladdin,[# 83][# 4],"$1,050,693,953",Hollywood
Star Wars: Episode I – The Phantom Menace,[# 84][# 8],"$1,046,515,409",Hollywood
Pirates of the Caribbean: On Stranger Tides,[# 85][# 76],"$1,045,713,802",Hollywood
